sitc_product_name_short_en,export_rca
Fat and oils of fish and marine mammals,88.89609
"Flours and meals, of meat, fish,etc, unfit for human; greaves",84.20225500000001
Copper ore and concentrates; copper matte; cement copper,68.702934
Zinc ores and concentrates,64.44714
Lead ores and concentrates,56.60933299999999
"Sheep's or lambs' wool, or of other animal hair, carded or combed",46.853629999999995
"Grapes, fresh or dried",44.70612
"Tin and tin alloys, unwrought",41.99223
"Natural calcium phosphates, natural aluminium, etc",36.67078
"Discontinuous synthetic fibres, carded or combed",26.264340999999998
