sitc_product_name_short_en,market_percent
Fat and oils of fish and marine mammals,0.2350653059243413
"Flours and meals, of meat, fish,etc, unfit for human; greaves",0.22842030144008335
Copper ore and concentrates; copper matte; cement copper,0.1827817873393409
Zinc ores and concentrates,0.1747839102479017
Lead ores and concentrates,0.15678601501800074
"Sheep's or lambs' wool, or of other animal hair, carded or combed",0.12930532738029532
"Grapes, fresh or dried",0.11876547038275756
"Tin and tin alloys, unwrought",0.1126396933821056
"Natural calcium phosphates, natural aluminium, etc",0.0994460345960896
"Discontinuous synthetic fibres, carded or combed",0.07086325643674236
